material_name,material name,metallic,roughness,metallicF0Factor,albedo,clearCoat_isEnabled,clearCoat_intensity,clearCoat_roughness,clearCoat_indexOfRefraction,clearCoat_isTintEnabled,tintColor,clearCoat_tintThickness
25_Verde,Verde,0,0.65,0.5,"0.0117647058823529, 0.0627450980392156, 0.0156862745098039",FALSE,1,1,3,FALSE,"0.188235294117647, 0.0745098039215686, 0.00392156862745098",1
18_Verde_British,Verde British,0,0.06,0.5,"0.00392156862745098, 0.0470588235294117, 0.0313725490196078",TRUE,1,0.01,1.44,FALSE,"1, 1, 1",1
122_Verde_Kers,Verde Kers,0.5,0.05,1.5,"0.190462878822409, 0.358653905926198, 0.0494334575559079",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
120_Verde_Masoni,Verde Masoni,0.85,0.4,1.8,"0.173439036332135, 0.173439036332135, 0.0780565899581018",TRUE,1,0,1.6,FALSE,"1, 1, 1",1
119_Verde_Medio_Met,Verde Medio Met,0.4,0.11,1.5,"0.0891935068622478, 0.141980290685735, 0.0891935068622478",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
123_Verde_Pino_18,Verde Pino 18,0.85,0.6,1.8,"0.012663720031582, 0.127529777813422, 0.101145164209599",TRUE,1,0,1.6,FALSE,"1, 1, 1",1
43_Verde_Racing,Verde Racing,0,0.09,0.5,"0.00392156862745098, 0.0431372549019607, 0.0196078431372549",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
50_Verde_Zeltweg,Verde Zeltweg,0,0.1,0.5,"0.00392156862745098, 0.00784313725490196, 0.00392156862745098",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
38_Vinaccia,Vinaccia,0,0.65,0.5,"0.0352941176470588, 0.0235294117647058, 0.0235294117647058",FALSE,1,1,3,FALSE,"0.188235294117647, 0.0745098039215686, 0.00392156862745098",1
51_Vinaccia,Vinaccia,0,0.09,0.5,"0.0352941176470588, 0, 0",TRUE,0.5,0.01,1,FALSE,"1, 1, 1",1
93_Viola_Hong_Kong,Viola Hong Kong,0.75,0,2,"0.409825738436323, 0.0780565899581018, 0.24680041960155",TRUE,1,0.01,1.29,TRUE,"0.00392156862745098, 0.788235294117647, 0.788235294117647",1
92_Violetto_Dino,Violetto Dino,0.6,0.55,2,"0.409825738436323, 0.0891935068622478, 0.24680041960155",TRUE,1,0.01,1.29,TRUE,"0.00392156862745098, 0.788235294117647, 0.788235294117647",1
,,,,,,,,,,,", , ",
